lon,lat
75.211548,30.882177
75.211630,30.882334
75.211737,30.882513
75.211889,30.882739
75.212070,30.882964
75.212334,30.883246
75.212463,30.883375
75.212486,30.883396
75.212695,30.883583
75.213030,30.883839
75.213329,30.884070
75.213472,30.884189
75.213607,30.884317
75.213698,30.884410
75.213640,30.884475
75.213797,30.884655
75.213896,30.884792
75.214016,30.884959
75.214136,30.885133
75.214260,30.885341
75.214462,30.885691
75.214571,30.885865
75.214689,30.886046
75.214827,30.886226
75.215527,30.887004
75.216055,30.887519
75.216587,30.888037
75.217308,30.888737
75.217971,30.889395
75.218424,30.889837
75.218681,30.890068
75.218867,30.890217
75.218985,30.890312
75.219218,30.890468
75.219596,30.890708
75.219918,30.890930
75.220178,30.891096
75.220357,30.891215
75.220833,30.891529
75.221326,30.891891
75.221594,30.892112
75.221876,30.892385
75.222077,30.892601
75.222233,30.892768
75.222653,30.893155
75.222817,30.893398
75.222903,30.893531
75.223226,30.893919
75.223265,30.893961
75.223678,30.894404
75.224069,30.894823
75.224342,30.895136
75.224592,30.895471
75.224639,30.895560
75.224800,30.895864
75.225010,30.896379
75.225064,30.896510
75.225310,30.897137
75.225414,30.897401
75.225725,30.898305
75.226040,30.899135
75.226299,30.899766
75.226472,30.899974
75.226790,30.900825
75.227058,30.901559
75.227260,30.902054
75.227444,30.902459
75.227648,30.902855
75.227888,30.903279
75.228288,30.903870
75.229137,30.905079
75.230376,30.906941
75.230552,30.907191
75.230811,30.907557
75.231412,30.908425
75.231965,30.909221
75.232287,30.909694
75.232391,30.909927
75.232544,30.910210
75.232657,30.910414
75.233080,30.911181
75.233396,30.912035
75.233739,30.912949
75.233892,30.913608
75.233975,30.913968
75.234120,30.914834
75.234168,30.915785
75.234179,30.916019
75.234142,30.916974
75.234077,30.917576
75.234053,30.918092
75.234120,30.918543
75.234177,30.918713
75.234213,30.918775
75.234324,30.918914
75.234382,30.919082
75.234449,30.919253
75.234389,30.919328
75.234351,30.919456
75.234320,30.919786
75.234306,30.920115
75.234222,30.922015
75.234180,30.922814
75.234077,30.924783
75.234047,30.925368
75.234045,30.925401
75.233955,30.926501
75.233940,30.926675
75.233908,30.927016
75.233894,30.927495
75.233883,30.928089
75.233771,30.929934
75.233759,30.930229
75.233703,30.930839
75.233695,30.930932
75.233659,30.931329
75.233648,30.931491
75.233631,30.931758
75.233633,30.931856
75.233634,30.932158
75.233619,30.932402
75.233575,30.933115
75.233527,30.933896
75.233507,30.934229
75.233456,30.935062
75.233459,30.935179
75.233462,30.935305
75.233474,30.935508
75.233476,30.935551
75.233433,30.935851
75.233402,30.935911
75.233407,30.935977
75.233444,30.936035
75.233436,30.936276
75.233425,30.936664
75.233443,30.937344
75.233456,30.937452
75.233480,30.937578
75.233515,30.937684
75.233562,30.937762
75.233645,30.937868
75.233683,30.937922
75.233694,30.937962
75.233689,30.937980
75.233685,30.938001
75.233819,30.938132
75.233852,30.938324
75.233862,30.938477
75.233792,30.939235
75.233738,30.939447
75.233711,30.939554
75.233641,30.939826
75.233265,30.941006
75.233299,30.941551
75.233339,30.941721
75.233374,30.941873
75.233458,30.942163
75.233471,30.942196
75.233481,30.942223
75.233604,30.942494
75.233817,30.942849
75.233997,30.943106
75.234127,30.943279
75.234254,30.943502
75.234361,30.943714
75.234476,30.943937
75.234507,30.943998
75.234522,30.944027
75.234608,30.944248
75.234704,30.944524
75.234726,30.944652
75.234780,30.944846
75.234781,30.944866
75.234796,30.945061
75.234854,30.945246
75.234857,30.945440
75.234948,30.945726
75.235067,30.946101
75.235294,30.946710
75.235342,30.946839
75.235567,30.947374
75.235691,30.947667
75.235813,30.947872
75.236181,30.948491
75.236859,30.949632
75.238443,30.951818
75.238474,30.951911
75.238645,30.952196
